[INFO ][2015-11-10 18:13:16,959] [com.java.CreateClient] [main] [  138] - Execution started
[DEBUG][2015-11-10 18:13:16,959] [com.java.CreateClient] [main] [  148] - Execute Failed Cases: false
[INFO ][2015-11-10 18:13:17,049] [com.java.CreateClient] [main] [  201] - Test Cases Being executed:[3]
[INFO ][2015-11-10 18:13:17,049] [com.java.CreateClient] [main] [  205] - Browsers:IE11
[INFO ][2015-11-10 18:13:17,049] [com.java.CreateClient] [main] [  206] - Clients:Any Bank USA
[INFO ][2015-11-10 18:13:17,049] [com.java.CreateClient] [main] [  210] - Execution type:Sequential:1
[INFO ][2015-11-10 18:13:17,049] [com.java.CreateClient] [main] [  232] - Client to be executed: Any Bank USA
[INFO ][2015-11-10 18:13:17,049] [com.java.CreateClient] [main] [  249] - Application URL: https://clients-xuat.bankersdashboard.com
[INFO ][2015-11-10 18:13:17,049] [com.java.CreateClient] [main] [  290] - Browser Name:IE11
Login user:naresh.nayini.00000
Login Password:Password1*
[DEBUG][2015-11-10 18:13:19,049] [com.java.CreateClient] [invokeClientsinParallel] [  459] - Thread name before setting name: Thread[Thread-3,5,main]
[DEBUG][2015-11-10 18:13:19,049] [com.java.CreateClient] [invokeClientsinParallel] [  463] - Thread name: Thread[Thread_Any Bank USA_null,5,main]
[DEBUG][2015-11-10 18:13:19,049] [com.java.CreateClient] [invokeClientsinParallel] [  465] - Thread started: Thread[Thread_Any Bank USA_null,5,main]
[DEBUG][2015-11-10 18:14:56,052] [com.java.CreateClient] [updateExecutionStatus] [  593] - updating the execution completion status for: IE11 : ANY BANK USA
[INFO ][2015-11-10 18:14:56,052] [com.java.CreateClient] [generateBrowserLevelReportOnCompletion] [  618] - Execution Completed for Browser:IE11 for All Clients i.e:[Any Bank USA]
[INFO ][2015-11-10 18:14:56,052] [com.java.TemplateGenerator] [browserLevelReport_Consolidated] [  802] - Generating browser level report for:IE11
[DEBUG][2015-11-10 18:14:56,052] [com.java.TemplateGenerator] [writeToHTML] [  895] - Generating consolidated HTML file for all clients
[INFO ][2015-11-10 18:14:56,052] [com.java.TemplateGenerator] [writeToHTML] [  897] - Browser names:[IE11]
[INFO ][2015-11-10 18:14:56,052] [com.java.TemplateGenerator] [writeToHTML] [  898] - Client names:[Any Bank USA]
[INFO ][2015-11-10 18:14:56,052] [com.java.TemplateGenerator] [writeToHTML] [ 1011] - ---------------------------
